DOC.ID,Proj.ID,Lake.ID,Site,Date.Sample,Time.Sample,Depth.Class,Depth.Top..m.,Depth.Bot..m.,Rep,Comments,DOC_mgL,TN_mgL,flag
240,3,EL,DeepHole,6/18/2014,10:35,PML,0,1,2,,9.257855407,NA,0
241,3,EL,DeepHole,6/18/2014,10:35,Hypo,8,8,1,,12.54533432,0.498642595,0
242,3,EL,DeepHole,6/18/2014,10:35,Hypo,8,8,2,,12.69826557,NA,0
244,3,EL,Outlet,6/18/2014,11:30,Surface,0,0,2,,10.24432635,0.356642266,0
245,3,EL,Inlet1,6/18/2014,11:45,Surface,0,0,1,,60.20529835,1.252692521,0
246,3,EL,Inlet1,6/18/2014,11:45,Surface,0,0,2,,76.48731895,NA,0
247,17,CB,DeepHole,6/18/2014,9:45,PML,0,1,1,,21.13251777,NA,0
248,17,CB,DeepHole,6/18/2014,9:45,PML,0,1,2,,22.18080828,NA,0
249,17,CB,DeepHole,6/18/2014,9:45,Hypo,5,5,1,,22.95802659,NA,0
250,17,CB,DeepHole,6/18/2014,9:45,Hypo,5,5,2,,14.35171353,NA,0
251,15,MO,DeepHole,6/19/2014,8:35,PML,0,1,1,,16.50147049,NA,0
252,15,MO,DeepHole,6/19/2014,8:35,PML,0,1,2,,16.99110118,0.52890906,0
253,15,MO,DeepHole,6/19/2014,8:35,Hypo,5,5,1,,13.91209301,1.573333362,0
254,15,MO,DeepHole,6/19/2014,8:35,Hypo,5,5,2,,14.54348727,NA,0
255,15,MO,Outlet,6/19/2014,9:10,Surface,0,0,1,,16.6119039,NA,0
256,15,MO,Outlet,6/19/2014,9:10,Surface,0,0,2,,17.60186942,NA,0
257,15,MO,Inlet1,6/19/2014,9:40,Surface,0,0,1,,10.42820502,NA,0
258,15,MO,Inlet1,6/19/2014,9:40,Surface,0,0,2,,11.03119586,NA,0
259,15,MO,Inlet2,6/19/2014,9:25,Surface,0,0,1,,28.42884336,NA,0
260,15,MO,Inlet2,6/19/2014,9:25,Surface,0,0,2,,27.83068364,0.75077747,0
261,15,MO,Inlet3,6/19/2014,10:00,Surface,0,0,1,,51.62831648,NA,0
262,15,MO,Inlet3,6/19/2014,10:00,Surface,0,0,2,,47.08936762,1.332525423,0
263,21,HB,Wetland,6/18/2014,10:00,Surface,0,0,1,,20.80294577,NA,0
264,21,HB,Wetland,6/18/2014,10:00,Surface,0,0,2,,22.85265059,NA,0
265,21,EL,Inlet1,6/18/2014,12:00,Surface,0,0,1,,69.41429799,1.410742021,0
266,21,EL,Inlet1,6/18/2014,12:00,Surface,0,0,2,,69.51071485,NA,0
267,21,MO,Inlet1,6/18/2014,13:00,Surface,0,0,1,,11.00075246,NA,0
268,21,MO,Inlet1,6/18/2014,13:00,Surface,0,0,2,,11.0488883,0.552794994,0
