Zoop ID,Project ID,Sample date,Count date,Time,Lake ID,Site,Depth Top (m),Depth Bottom (m),chaob counts
Z176,16,6/4/13,10/30/13,12:00,BR,Deephole,1,1.5,1
Z501,16,8/2/13,10/30/13,10:30,DW,Deephole,1,1.5,0
Z498,16,8/1/13,10/16/13,23:30,DW,Deephole,5,5.5,8
Z175,16,6/4/13,10/28/13,12:00,BR,Deephole,0,0.5,3
Z177,16,6/4/13,10/28/13,12:00,BR,Deephole,2,2.5,1
Z205,16,6/6/13,10/9/13,23:30,RB,Deephole,0,0.5,1
Z497,16,8/1/13,10/16/13,23:30,DW,Deephole,4,4.5,6
Z485,16,7/31/13,10/16/13,23:30,CB,Deephole,0,0.5,58
Z171,16,6/3/13,10/7/13,23:30,BR,Deephole,0,0.5,17
Z462,16,7/31/13,10/7/13,0:30,RB,Deephole,1,1.5,17
Z500,16,8/2/13,10/9/13,10:30,DW,Deephole,0,0.5,2
Z408,16,7/28/13,10/9/13,23:00,WL,Deephole,7.5,8,4
Z426,16,7/29/13,10/9/13,23:30,RE,Deephole,1.5,2,4
Z427,16,7/29/13,10/9/13,23:30,RE,Deephole,3,3.5,0
Z365,16,7/23/13,10/2/13,11:30,BR,Deephole,1,1.5,215
Z165,16,6/3/13,10/2/13,12:00,BA,Deephole,1,1.5,0
Z288,16,6/4/13,10/7/13,11:30,RE,Deephole,2,2.5,0
Z352,16,7/22/13,9/30/13,23:30,BA,Deephole,0,0.5,1
Z411,16,7/29/13,10/2/13,0:00,HB,Deephole,0,0.5,79
Z422,16,7/29/13,10/2/13,11:00,RE,Deephole,7.5,8,0
Z206,16,6/6/13,9/25/13,23:30,RB,Deephole,1,1.5,14
Z404,16,7/28/13,9/30/13,23:00,WL,Deephole,1.5,2,14
Z208,16,6/6/13,9/30/13,23:30,RB,Deephole,3,3.5,34
Z415,16,7/29/13,9/25/13,0:00,HB,Deephole,4,4.5,21
Z417,16,7/29/13,9/25/13,11:00,RE,Deephole,0,0.5,2
Z429,16,7/29/13,9/25/13,23:30,RE,Deephole,6,6.5,0
Z264,16,6/11/13,9/23/13,23:00,CB,Deephole,0,0.5,16
Z344,16,7/22/13,9/23/13,11:30,BA,Deephole,0,0.5,0
Z455,16,7/30/13,9/23/13,23:30,TU,Deephole,3,3.5,47
Z215,16,6/6/13,12/12/13,23:00,HB,Deephole,4,4.5,2
Z174,16,6/3/13,12/12/13,23:30,BR,Deephole,3,3.5,39
Z366,16,7/23/13,12/12/13,11:30,BR,Deephole,2,2.5,351
Z489,16,7/31/13,10/10/13,23:30,CB,Deephole,4,4.5,13
Z472,16,7/31/13,10/10/13,11:30,CB,Deephole,4.5,4.5,21
Z451,16,7/30/13,10/10/13,13:30,TU,Deephole,9,9.5,24
