Project ID,Isotope ID,Date time,Lake ID,Site,Depth class,Depth (m),Volume Filtered (mL),sample type,comments
16,P-0827,7/18/13 12:15,RS,Deep Hole,Hypo,3.5,120,Filter ,
15,P-0828,7/19/13 7:45,MO,Deep Hole,PML,0-0.5,120,Filter ,
15,P-0829,7/19/13 7:45,MO,Deep Hole,Hypo,4,100,Filter ,
15,P-0830,7/19/13 7:45,MO,Inlet 1,Surface,0,180,Filter ,
15,P-0831,7/19/13 7:45,MO,Inlet 2,Surface,0,50,Filter ,
15,P-0832,7/19/13 7:45,MO,Inlet 3,Surface,0,140,Filter ,
15,P-0833,7/19/13 7:45,MO,Outlet,Surface,0,200,Filter ,
15,P-0834,7/19/13 11:15,HB,Deep Hole,PML,0-0.5,140,Filter ,
15,P-0835,7/19/13 11:15,HB,Deep Hole,Hypo,4,105,Filter ,
15,P-0836,7/19/13 11:15,HB,Outlet,Surface,0,140,Filter ,
16,P-0837,7/19/13 13:00,RE,Deep Hole,PML,0-0.5,140,Filter ,
16,P-0838,7/19/13 13:00,RE,Deep Hole,Hypo,3,140,Filter ,
16,P-0839,7/16/13 11:30,DW,Deep Hole,PML,0-0.5,-,Particulate,
16,P-0840,7/16/13 11:30,DW,Deep Hole,Hypo,4.5,-,Particulate,
16,P-0841,7/22/13 11:30,BA,Deep Hole,PML,0-2,200,Filter ,
16,P-0842,7/22/13 11:30,BA,Deep Hole,Hypo,5,200,Filter ,
16,P-0843,7/23/13 11:15,BR,Deep Hole,PML,0-2,140,Filter ,
16,P-0844,7/23/13 11:15,BR,Deep Hole,Hypo,4,100,Filter ,
15,P-0845,7/23/13 12:30,CR,Deep hole,PML,0-1.5,140,Filter ,
15,P-0846,7/23/13 12:30,CR,Deep hole,Hypo,10,140,Filter ,
16,P-0847,7/15/13 13:00,TU,Deep hole,PML,0-1,-,Particulate,
16,P-0848,7/15/13 13:00,TU,Deep hole,Hypo,3.5,-,Particulate,
16,P-0849,7/17/13 13:30,CB,Deep hole,PML,0-0.5,-,Particulate,
16,P-0850,7/17/13 13:30,CB,Deep hole,Hypo,3.5,-,Particulate,
16,P-0851,7/24/13 11:15,RB,Deep hole,PML,0-2,200,Filter ,
16,P-0852,7/24/13 11:15,RB,Deep hole,Hypo,4,90,Filter ,
16,P-0853,7/25/13 10:40,WL,Deep hole,PML,0-2,200,Filter ,
16,P-0854,7/25/13 10:40,WL,Deep hole,Hypo,4,180,Filter ,
3,P-0855,7/25/13 12:40,EL,Deep hole,PML,0-1,140,Filter ,
3,P-0856,7/25/13 12:40,EL,Deep hole,Mete,4,170,Filter ,
3,P-0857,7/25/13 13:30,EL,Inlet 1,Surface,0,180,Filter ,
3,P-0858,7/25/13 12:00,EL,Outlet,Surface,0,50,Filter ,
16,P-0859,7/26/13 11:30,HB,Deep Hole,PML,0-0.5,90,Filter ,
